id,firstName,lastName,minutes,dataUsage
1,太郎,藤田,1544,3388
2,彩花,竹内,4956,4972
3,七海,後藤,112,2467
4,莉子,武田,2610,4654
5,悠太,森田,2899,3780
6,悠太,松本,2078,3432
7,翔,山下,1898,2335
8,誠,伊藤,3549,4076
9,優,酒井,461,2051
10,颯太,原,4395,4968
11,響,藤原,397,1158
12,駿,山崎,832,2447
13,恵,岡田,1581,4938
14,優,小島,3242,3403
15,瑛太,大野,1031,3630
16,亮,藤井,1961,4265
17,美羽,柴田,4153,4577
18,真央,谷口,3710,3967
19,大翔,森田,4459,4812
20,玲奈,高田,2124,4692
21,彩乃,井上,3493,4888
22,愛子,山口,1534,4010
23,大樹,吉田,3360,4533
24,未来,上野,1311,3174
25,桜,松本,592,3195
26,美羽,山田,2559,3301
27,蓮,村田,4567,4856
28,陽太,増田,1185,4525
29,翼,大野,4439,4573
30,颯太,木下,4922,4958
31,楓,山田,198,3553
32,颯太,森,1364,2649
33,大翔,石井,3188,3201
34,結,森,4279,4423
35,隼人,中村,2410,3720
36,美穂,斎藤,114,1110
37,美羽,村田,4302,4776
38,亮太,河野,607,999
39,大地,前田,2066,3424
40,優奈,木村,3590,4687
41,隼人,藤田,1465,1738
42,碧,吉田,4424,4609
43,響,安藤,1513,2524
44,拓海,佐藤,4766,4793
45,颯,青木,2554,4297
46,匠,中野,4685,4687
47,拓海,三浦,778,3067
48,彩,青木,4024,4612
49,亮太,岡田,1963,3681
50,遥,谷口,479,1514
51,太郎,中山,1017,3301
52,悠真,佐藤,437,4715
53,桜,小山,2809,2917
54,陽子,大野,2973,4260
55,優斗,安藤,136,3605
56,奈々,石井,229,2500
57,智子,小野,1569,2561
58,太一,上田,4153,4619
59,海斗,小山,940,4117
60,陽菜,岡田,228,875
61,莉子,藤原,797,4850
62,結,小野,476,3153
63,翔,森,172,3186
64,芽衣,長谷川,1268,4264
65,仁,竹内,3036,4861
66,彩乃,井上,1270,4109
67,颯太,斉藤,3494,4493
68,美月,伊藤,4373,4829
69,美緒,原田,747,1664
70,響,斉藤,4819,4873
71,颯太,山田,647,3520
72,陽太,金子,2527,2858
73,陽太,松田,1111,2891
74,優,上田,1698,2815
75,亮,井上,3288,3311
76,愛子,斎藤,2906,4060
77,海斗,松本,1944,4649
78,茜,石井,4859,4866
79,翔,阿部,498,4887
80,優衣,山下,3627,4913
81,舞,中村,4866,4927
82,駿,金子,4383,4855
83,陽菜,井上,489,4882
