id,firstName,lastName,minutes,dataUsage
1,光,千葉,655,3756
2,蒼,原,1453,1586
3,蒼,斉藤,505,4114
4,翔,内田,1216,2286
5,彩,福田,4609,4845
6,響,石川,830,3054
7,一郎,酒井,2265,4763
8,優斗,田村,937,1718
9,結,田中,3696,4720
10,空,丸山,3276,4646
11,優菜,佐々木,1596,3139
12,航,丸山,4755,4778
13,桜,田中,1019,1111
14,碧,石田,3882,4193
15,莉子,久保,646,2408
16,玲奈,内田,4752,4967
17,誠,田村,707,3189
18,芽衣,松井,365,1003
19,隼人,杉山,2612,2835
20,明日香,安藤,3369,3960
21,結衣,丸山,3541,4421
22,大和,太田,2896,4644
23,杏奈,阿部,2695,3897
24,結菜,工藤,1988,3244
25,大和,村上,2103,4009
26,さくら,石田,4326,4812
27,美月,佐野,1752,3264
28,美緒,渡辺,1419,3673
29,悠斗,柴田,1095,3870
30,優菜,安藤,1499,3553
31,真央,安藤,4393,4462
32,亮太,太田,2614,3820
33,明日香,石井,2566,4899
34,航,山田,4148,4417
35,直樹,藤原,4210,4415
36,奈々,鈴木,4610,4725
37,優衣,大野,3075,4129
38,陽子,森田,4922,4935
39,陸,岡田,4193,4810
40,杏,原,3375,4518
41,大輔,山口,284,1265
42,恵,加藤,3745,4103
43,蒼,村田,667,1479
44,七海,藤井,2216,3690
45,遥,藤井,863,2985
46,凛,松本,3485,4804
47,杏,山崎,913,4310
48,さくら,青木,4257,4302
49,悠斗,鈴木,495,2931
50,美優,青木,4158,4245
51,愛子,藤本,4793,4837
52,美羽,杉山,2503,3842
53,悠,小野,881,3909
54,葵,上野,3863,4647
55,莉子,遠藤,548,2535
56,美咲,小川,844,4198
57,遼,原,999,1139
58,悠太,上野,1987,3859
59,陽斗,斉藤,3996,4059
60,莉子,木村,4868,4961
61,優菜,岩崎,1565,3825
62,美咲,松尾,4451,4673
63,莉子,藤本,1587,3617
64,智子,後藤,2915,3175
65,さくら,松尾,4022,4922
66,陽,宮崎,1665,1922
67,一輝,森,1353,4972
68,彩花,内田,4927,4959
69,美優,柴田,3934,4017
70,輝,高橋,1261,2642
71,樹,三浦,3798,3846
72,琴音,西村,1965,4756
73,綾乃,近藤,3984,3984
74,誠,中村,4371,4833
75,愛美,藤原,1641,3310
76,凛,藤井,1656,2100
77,拓海,杉山,1284,1544
78,遥,清水,192,1019
79,杏奈,中山,2595,3962
80,美緒,鈴木,1986,2532
81,蒼,和田,4254,4534
82,陽子,河野,4764,4949
83,愛,前田,2785,3753
84,優奈,野村,3541,4971
85,明日香,山田,2970,4577
86,千尋,中村,3075,3647
87,美桜,宮本,3176,3837
88,一輝,渡辺,746,813
89,七海,山口,3788,4311
90,桜,井上,4366,4912
91,奏太,大野,3913,4021
92,大翔,野口,4331,4826
93,隼人,高橋,2879,3800
94,桜,今井,3720,4220
95,陽太,原,2787,3910
96,裕子,後藤,1803,3543
97,颯太,佐々木,1295,1526
98,碧,斎藤,939,1561
99,健,杉山,1017,3481
100,拓海,中川,802,1498
